item,value
null_model_auc,0.5
accuracy,0.7763040951664729
test_auc,0.6740790048303205
precision,0.816042110540168
recall,0.9292952359204179
F1,0.7411895979504952
sensitivity,0.816042110540168
specificity,0.3785750125439037
